fdc_id,name,category,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron
169758,"Rice, white, long-grain, parboiled, unenriched, dry",Cereal Grains and Pasta,SR Legacy,1560.0,7.51,80.9,1.03,1.8,0.0,2.0,71.0,0.74
168878,"Rice, white, long-grain, regular, enriched, cooked",Cereal Grains and Pasta,SR Legacy,130.0,2.69,28.2,0.28,0.4,0.0,1.0,10.0,1.2
168877,"Rice, white, long-grain, regular, raw, enriched",Cereal Grains and Pasta,SR Legacy,1530.0,7.13,80.0,0.66,1.3,0.0,5.0,28.0,4.31
169756,"Rice, white, long-grain, regular, raw, unenriched",Cereal Grains and Pasta,SR Legacy,1530.0,7.13,80.0,0.66,1.3,0.0,5.0,28.0,0.8
169709,"Rice, white, long-grain, precooked or instant, enriched, dry",Cereal Grains and Pasta,SR Legacy,1590.0,7.82,82.3,0.94,1.9,0.0,10.0,22.0,6.3
169710,"Rice, white, long-grain, precooked or instant, enriched, prepared",Cereal Grains and Pasta,SR Legacy,124.0,2.18,26.8,0.5,0.6,0.0,4.0,8.0,1.77
169753,"Rice, white, long-grain, regular, cooked, enriched, with salt",Cereal Grains and Pasta,SR Legacy,544.0,2.69,28.2,0.28,0.4,0.0,382.0,10.0,1.2
168935,"Rice, white, long-grain, regular, cooked, unenriched, with salt",Cereal Grains and Pasta,SR Legacy,544.0,2.69,28.2,0.28,0.4,0.0,382.0,10.0,0.2
169757,"Rice, white, long-grain, regular, unenriched, cooked without salt",Cereal Grains and Pasta,SR Legacy,544.0,2.69,28.2,0.28,0.4,0.0,1.0,10.0,0.2
174100,"Bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca",Baked Products,SR Legacy,1040.0,4.31,45.8,5.24,4.3,0.0,447.0,138.0,2.63
174101,"Bread, gluten-free, white, made with tapioca starch and brown rice flour",Baked Products,SR Legacy,298.0,5.4,51.2,8.02,5.5,0.0,515.0,59.0,0.53
174103,"Crackers, gluten-free, multigrain and vegetable, made with corn starch and white rice flour",Baked Products,SR Legacy,456.0,2.5,76.9,15.4,3.0,0.0,890.0,28.0,0.56
